,vtuber,music,original,collab,collabVTuber,id,channelId,publishedAt,memo
0,YuNi,だから僕は音楽を辞めた,ヨルシカ,True,燦鳥ノム,BcM4jKW9pRQ,UCHTnX0CSX_KObo5I9WuZ64g,2019-06-28 18:00:01,
1,YuNi,ハレ晴レユカイ,涼宮ハルヒの憂鬱,True,織田信姫,Vs0K7kA1t_4,UCHTnX0CSX_KObo5I9WuZ64g,2019-05-19 19:00:04,
2,YuNi,乙女解剖,DECO*27,False,,7wCCpsKzUbU,UCHTnX0CSX_KObo5I9WuZ64g,2019-03-03 19:00:01,
3,YuNi,花は幻,YuNi,False,,-VLYmY_1qx8,UCHTnX0CSX_KObo5I9WuZ64g,2019-03-10 22:58:44,
4,YuNi,Write My Voice,YuNi,False,,aAOfNwVJaKA,UCHTnX0CSX_KObo5I9WuZ64g,2019-05-13 20:09:01,
5,YuNi,shallow,レディー・ガガ,False,,aApLaFDDUJw,UCHTnX0CSX_KObo5I9WuZ64g,2019-02-10 20:22:57,
6,YuNi,雨とペトラ,バルーン須田景凪,False,,ilp0naZ1WQU,UCHTnX0CSX_KObo5I9WuZ64g,2019-02-04 19:58:29,
7,YuNi,光,宇多田ヒカル,False,,mGsAixlq7tg,UCHTnX0CSX_KObo5I9WuZ64g,2019-01-25 06:57:25,
8,YuNi,帝国少女,R Sound Design,False,,CPKLZq7RYhA,UCHTnX0CSX_KObo5I9WuZ64g,2019-01-22 20:01:29,
9,YuNi,白い雪のプリンセスは,のぼる↑,False,,PaO5P_wfRZk,UCHTnX0CSX_KObo5I9WuZ64g,2019-01-18 21:27:43,
10,YuNi,ウィーアー!,きただにひろし,False,,EgrGP8ljX8o,UCHTnX0CSX_KObo5I9WuZ64g,2019-01-03 19:00:00,
11,YuNi,Winter Berry,YuNi,False,,24SieLFldbU,UCHTnX0CSX_KObo5I9WuZ64g,2018-12-31 17:00:00,
12,YuNi,Winter Berry,YuNi,False,,vaeOnusZmrc,UCHTnX0CSX_KObo5I9WuZ64g,2018-12-29 17:00:05,
13,YuNi,Winter Berry,YuNi,False,,b9PTY7OVwhY,UCHTnX0CSX_KObo5I9WuZ64g,2018-12-25 21:11:41,
14,YuNi,赤鼻のトナカイ,Johnny Marks,False,,HcK5fb4vYbk,UCHTnX0CSX_KObo5I9WuZ64g,2018-12-23 19:00:02,
15,YuNi,クリスマスソング,back number,False,,NQ97uD3od5I,UCHTnX0CSX_KObo5I9WuZ64g,2018-12-21 20:02:00,
16,YuNi,ひなげし,いきものがかり,False,,lx_amBRRwZI,UCHTnX0CSX_KObo5I9WuZ64g,2018-12-17 19:00:03,
17,YuNi,ロキ,みきとP,True,かしこまり,mxKCX19vIZg,UCHTnX0CSX_KObo5I9WuZ64g,2018-12-14 20:57:45,
18,YuNi,ヒバナ,DECO*27,False,,uaKIi_UhsNo,UCHTnX0CSX_KObo5I9WuZ64g,2018-12-09 19:46:56,
19,YuNi,flos,R Sound Design,False,,OF5MVNyiF38,UCHTnX0CSX_KObo5I9WuZ64g,2018-12-06 19:00:01,
20,YuNi,奏,スキマスイッチ,False,,y2ZbEta0ugw,UCHTnX0CSX_KObo5I9WuZ64g,2018-11-29 20:13:58,
21,YuNi,adrenalin!!!,TrySail,False,,teNRF5U_tCQ,UCHTnX0CSX_KObo5I9WuZ64g,2018-11-23 19:00:06,
22,YuNi,DONUT HOLE,ハチ,False,,xv92LLMA3J8,UCHTnX0CSX_KObo5I9WuZ64g,2018-11-17 19:00:07,
23,YuNi,夜空ノムコウ,SMAP,False,,MwVVsS2BkkE,UCHTnX0CSX_KObo5I9WuZ64g,2018-11-13 19:02:38,
24,YuNi,pressure,MUSE,False,,Mgnecjs9B8E,UCHTnX0CSX_KObo5I9WuZ64g,2018-11-09 21:00:04,
25,YuNi,脳漿炸裂ガール,れるりり,True,天神子兎音,CYpOUcLtwT0,UCHTnX0CSX_KObo5I9WuZ64g,2018-11-03 19:00:02,
26,YuNi,Mrs.Pumpkinの滑稽な夢,ハチ,True,ときのそら,gb_jfOQd64c,UCHTnX0CSX_KObo5I9WuZ64g,2018-10-31 19:58:41,"かしこまり,響木アオ"
27,YuNi,happy halloween,Junky,True,おめがシスターズ,l71rBXM1Rgg,UCHTnX0CSX_KObo5I9WuZ64g,2018-10-30 19:00:10,
28,YuNi,透明声彩,YuNi,False,,BnH6RiFm9f4,UCHTnX0CSX_KObo5I9WuZ64g,2018-10-26 21:00:55,
29,YuNi,ultra soul,B'z,False,,jRfTfVeZavs,UCHTnX0CSX_KObo5I9WuZ64g,2018-10-12 19:00:09,
30,YuNi,ロビンソン,スピッツ,False,,3lg9Y3uyRqQ,UCHTnX0CSX_KObo5I9WuZ64g,2018-10-09 19:00:00,
31,YuNi,ヴォイス,ポルノグラフィティ,False,,regESypj-2w,UCHTnX0CSX_KObo5I9WuZ64g,2018-10-06 19:00:08,
32,YuNi,まちぶせ,石川ひとみ,False,,HgpLzXrE_XA,UCHTnX0CSX_KObo5I9WuZ64g,2018-10-03 19:00:02,
33,YuNi,Tell Your World,KZ,False,,sLMDss_VV4E,UCHTnX0CSX_KObo5I9WuZ64g,2018-09-27 22:03:38,
34,YuNi,さよならエレジー,菅田将暉,False,,VpYIJ76Gs6k,UCHTnX0CSX_KObo5I9WuZ64g,2018-09-22 19:00:07,
35,YuNi,LOSER,米津玄師,False,,_MsMoRpvJD0,UCHTnX0CSX_KObo5I9WuZ64g,2018-09-19 22:43:41,
36,YuNi,春夏秋冬,sumika,False,,aQnFn7013uQ,UCHTnX0CSX_KObo5I9WuZ64g,2018-09-17 16:45:13,
37,YuNi,アスノヨゾラ哨戒班,orangestar,False,,oP4bzAOmFos,UCHTnX0CSX_KObo5I9WuZ64g,2018-09-14 19:00:11,
38,YuNi,irony,ClariS,False,,QVFuiqWjXMk,UCHTnX0CSX_KObo5I9WuZ64g,2018-09-10 19:50:14,
39,YuNi,ブリキノダンス,日向電工,False,,vKcOfhAAgeg,UCHTnX0CSX_KObo5I9WuZ64g,2018-09-07 21:20:35,
40,YuNi,恋愛裁判,40mP,False,,zqMWChfzTkI,UCHTnX0CSX_KObo5I9WuZ64g,2018-09-04 21:38:30,
41,YuNi,妄想感傷代償連盟,DECO*27,False,,jlcXiaiG2IY,UCHTnX0CSX_KObo5I9WuZ64g,2018-09-01 20:10:01,
42,YuNi,残酷な天使のテーゼ,高橋洋子,False,,-Sp2pM-whLw,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-29 21:57:55,
43,YuNi,ラプンツェル,ヨルシカ,False,,vE3GNxYFawc,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-23 21:29:52,
44,YuNi,からくりピエロ,40mP,True,響木アオ,FCRRxX5PoX4,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-21 19:00:03,
45,YuNi,シャングリラ,チャットモンチー,False,,E87JNpw_prI,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-17 19:46:52,
46,YuNi,命に嫌われている,カンザキイオリ,False,,85LtMbcugjI,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-14 19:00:03,
47,YuNi,WHITE BREATH,T.M.Revolution,False,,n7LNDJFHukw,UCHTnX0CSX_KObo5I9WuZ64g,2018-08-11 19:00:08,
